<<<<<<< HEAD
Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
2016-01-07,330.7506103515625,334.25954174404296,323.5405255800164,333.2981971078368,1423390
2016-01-08,334.5478820800781,336.95124330191777,325.12671782562893,334.25949046861956,1341603
2016-01-11,331.7119445800781,336.4706121151561,330.3660679991993,331.6638890849396,705294
2016-01-12,333.4903869628906,335.50921619439197,331.37544675581205,333.10585504686765,638269
2016-01-13,336.42254638671875,337.67228260139694,331.6638789963899,335.98992959199495,735198
2016-01-14,328.4914855957031,346.03602582969444,326.857187920934,333.58660061342385,2007294
2016-01-15,322.8675842285156,329.26051984105965,319.6951295002947,328.77984754932083,1570462
2016-01-18,321.32940673828125,330.5102351956409,319.74319414328016,322.0504151303641,2640407
2016-01-19,326.0881042480469,327.2897850134982,314.31163274662345,321.1852408574234,1222626
2016-01-20,327.6743469238281,330.6064365242114,321.0410743601707,322.9156789227739,1530254
2016-01-21,330.125732421875,334.1633915094432,324.16541345678525,330.6064047257327,1015243
2016-01-22,334.16339111328125,335.50926769490536,323.7808517595186,332.62523387517837,1027422
2016-01-25,340.7486267089844,344.11333302132283,333.1539804193775,337.33583556086603,801820
2016-01-27,336.1341552734375,344.01719323870725,331.66390846175256,344.01719323870725,866074
2016-01-28,325.895751953125,335.4130556558569,323.8769228433569,332.4328821450472,1060659
2016-01-29,349.6410217285156,352.5250553550761,333.05782837579267,333.5865561388326,1807418
2016-02-01,346.0359802246094,352.0924391144875,343.6326188654661,350.4100861630872,659748
2016-02-02,338.393310546875,348.7758208398538,337.1435742601329,345.987927273953,757686
2016-02-03,340.3640441894531,342.7193501966554,331.6638872870859,331.6638872870859,723244
2016-02-04,348.00677490234375,358.4854260691138,342.2867623089777,342.2867623089777,1519516
2016-02-05,355.264892578125,357.6201986322377,347.14154814204704,349.59296518783003,1549307
2016-02-08,357.23565673828125,361.46556708122444,350.89077655491207,351.94826147512504,1047610
2016-02-09,352.66925048828125,361.081015216184,351.371429491252,353.2941185719155,808046
2016-02-10,356.0819396972656,359.3505046043087,349.9773972359036,350.89068609926767,2059928
2016-02-11,342.5751953125,355.98593649397196,340.2679738623673,354.7362000987079,1069363
2016-02-12,342.09442138671875,346.80500322756507,327.914591039923,344.3055018412271,2187500
2016-02-15,344.8342590332031,350.55424079322455,336.9512229661656,342.47895344278595,775675
2016-02-16,334.11529541015625,349.3526127962339,333.1058953412551,348.9200253400941,1720575
2016-02-17,314.2154846191406,332.96170409491054,310.5623575800916,332.9136192627403,2744020
2016-02-18,320.7526550292969,322.53114860153755,307.7745015088177,315.41720365048695,1744811
2016-02-19,321.7620544433594,327.6262331257656,318.20506763194726,320.12775686235176,807083
2016-02-22,324.8383483886719,326.2803653504487,313.6867446833493,324.6460970631811,873701
2016-02-23,316.7149658203125,324.9344497823058,313.8789877334995,324.9344497823058,828320
2016-02-24,314.3115539550781,319.16633129534347,311.61977211249666,318.20498692397194,668565
2016-02-25,311.23529052734375,317.96470221442144,310.22589050944475,315.4171450861805,1270824
2016-02-26,317.3878479003906,323.9730629102114,312.38887462143174,315.8496909922868,881692
2016-02-29,304.5539855957031,318.92610042460666,290.0377042690119,318.92610042460666,1857767
2016-03-01,324.45379638671875,326.8571578414352,298.01682038483796,300.4201818395544,1388815
2016-03-02,320.992919921875,325.3670549620009,314.84032104236866,324.4537659596929,1520145
2016-03-03,328.92401123046875,331.1831766484822,319.5989872846191,320.127715018707,1501530
2016-03-04,325.3670959472656,332.0484234036842,323.0117899106699,328.68371725878137,893896
2016-03-08,328.34722900390625,330.70253495605306,323.20405898000354,324.93446748588934,2006420
2016-03-09,326.71295166015625,328.3472197947882,324.1653944665333,328.3472197947882,914711
2016-03-10,325.94384765625,332.14453154323274,324.74216700667245,326.56874506435554,3429651
2016-03-11,332.625244140625,333.9711207637854,323.97314241442376,326.9052318198057,1425552
2016-03-14,327.9626159667969,335.98984707933397,326.9051313244319,333.682626529202,794134
2016-03-15,330.51019287109375,331.66381788585784,327.0974319874294,329.45273750177995,963552
2016-03-16,326.52069091796875,330.3180138626214,324.02118906439415,329.64506090045967,804723
2016-03-17,326.37652587890625,330.60643669429055,324.6461171528574,330.22190468160323,1527064
2016-03-18,324.7422180175781,331.18323904623986,323.0598648439035,326.9533283628686,2523802
2016-03-21,328.8759765625,331.13514212354266,324.21344962543486,327.8184916894686,1071707
