Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2016-01-07,3896.7080078125,4062.696590872977,3882.054102172571,4062.696590872977,1200069
2016-01-08,3848.1806640625,3948.841893841939,3830.8786235662024,3913.5075695529526,994652
2016-01-11,3900.81640625,3926.016040229146,3758.932101772882,3825.5830717581675,865799
2016-01-12,3897.712646484375,3948.6593797712867,3889.4954026759046,3935.1467571674057,481142
2016-01-13,3918.027099609375,3935.1463557975894,3854.2066017025036,3924.190031837132,431206
2016-01-14,3878.767333984375,3915.9731878912453,3846.3093992697513,3870.3218334042876,402026
2016-01-15,3901.6845703125,3962.537739288772,3884.0174062060914,3894.0607046236437,592183
2016-01-18,3867.765380859375,3916.2012877031325,3809.925027879827,3906.842760408394,396124
2016-01-19,3833.0244140625,3875.754347415844,3802.757656570958,3872.1477122490833,499001
2016-01-20,3705.93115234375,3825.537920489589,3678.1295228600907,3807.185987362662,679992
2016-01-21,3553.227294921875,3729.6697707959165,3533.4146526910267,3729.6697707959165,1212801
2016-01-22,3747.930419921875,3761.579906294529,3588.3330303659804,3600.019820728065,1063413
2016-01-25,3726.383056640625,3809.148869937029,3719.5808267615694,3767.1041524187617,608634
2016-01-27,3754.32177734375,3815.540063059342,3736.10670926988,3771.7147644168804,886550
2016-01-28,3746.423828125,3779.8407083184566,3680.4121487588945,3725.150475548571,1677354
2016-01-29,3739.6220703125,3765.3236935584455,3581.8052497162416,3583.6313038838257,2147231
2016-02-01,3604.859130859375,3760.7585031367735,3591.528846468171,3744.2326239990343,1904034
2016-02-02,3537.934326171875,3638.413003381155,3516.5695811366554,3608.8310144236193,902619
2016-02-03,3495.38720703125,3533.414694620635,3455.4877464950796,3533.414694620635,1101308
2016-02-04,3464.6181640625,3544.2797778065624,3445.7642437832974,3527.9366820293217,597800
2016-02-05,3399.565185546875,3460.3728826206416,3372.083202202199,3455.533794166444,1245857
2016-02-08,3407.91943359375,3459.459770121709,3391.9414589362864,3422.9386851903632,559505
2016-02-09,3339.031005859375,3368.1564769062106,3305.157616264701,3364.5043690429347,657011
2016-02-10,3358.615478515625,3394.634348688332,3286.8971638725106,3323.2813785853914,795377
2016-02-11,3233.43994140625,3345.6054154477324,3212.486012988341,3333.5535017027337,1066224
2016-02-12,3240.92626953125,3275.940944880265,3159.9865134421952,3259.506458534712,1211696
2016-02-15,3388.471923828125,3400.93465494427,3290.9148861813765,3292.330122809107,1182286
2016-02-16,3382.9482421875,3422.8931810696495,3333.6447747672473,3401.25448161661,753873
2016-02-17,3423.07568359375,3428.4169816360713,3343.0489422797536,3359.8485528405413,652019
2016-02-18,3335.515625,3466.626381034749,3307.0749253531644,3452.3830717939504,1243826
2016-02-19,3267.860595703125,3323.418379478913,3249.463190265234,3323.418379478913,718677
2016-02-22,3214.5859375,3236.6811492832394,3187.879894166704,3231.202986548204,1291463
2016-02-23,3184.090576171875,3258.091466204149,3177.334264886355,3222.9856192669063,796836
2016-02-24,3186.1904296875,3222.985464128496,3177.334111945373,3195.5489568850403,605914
2016-02-25,3117.211181640625,3204.7249126488323,3105.2049652189967,3204.405264021811,840542
2016-02-26,3112.692138671875,3158.252327544663,3081.5580463662995,3151.769745567969,831491
